Perceptron

type,Precision,Recall,F1,Accuracy,T,K,Mistakes,Iteration
train,0.0,0.0,0.0,60.0,20,1,4,1
test,0.0,0.0,0.0,0.0,20,1,10,1
train,1.0,1.0,1.0,100.0,20,1,0,2
test,0.0,0.0,0.0,0.0,20,1,10,2
train,1.0,1.0,1.0,100.0,20,1,0,3
test,0.0,0.0,0.0,0.0,20,1,10,3
train,1.0,1.0,1.0,100.0,20,1,0,4
test,0.0,0.0,0.0,0.0,20,1,10,4
train,1.0,1.0,1.0,100.0,20,1,0,5
test,0.0,0.0,0.0,0.0,20,1,10,5
train,1.0,1.0,1.0,100.0,20,1,0,6
test,0.0,0.0,0.0,0.0,20,1,10,6
train,1.0,1.0,1.0,100.0,20,1,0,7
test,0.0,0.0,0.0,0.0,20,1,10,7
train,1.0,1.0,1.0,100.0,20,1,0,8
test,0.0,0.0,0.0,0.0,20,1,10,8
train,1.0,1.0,1.0,100.0,20,1,0,9
test,0.0,0.0,0.0,0.0,20,1,10,9
train,1.0,1.0,1.0,100.0,20,1,0,10
test,0.0,0.0,0.0,0.0,20,1,10,10
train,1.0,1.0,1.0,100.0,20,1,0,11
test,0.0,0.0,0.0,0.0,20,1,10,11
train,1.0,1.0,1.0,100.0,20,1,0,12
test,0.0,0.0,0.0,0.0,20,1,10,12
train,1.0,1.0,1.0,100.0,20,1,0,13
test,0.0,0.0,0.0,0.0,20,1,10,13
train,1.0,1.0,1.0,100.0,20,1,0,14
test,0.0,0.0,0.0,0.0,20,1,10,14
train,1.0,1.0,1.0,100.0,20,1,0,15
test,0.0,0.0,0.0,0.0,20,1,10,15
train,1.0,1.0,1.0,100.0,20,1,0,16
test,0.0,0.0,0.0,0.0,20,1,10,16
train,1.0,1.0,1.0,100.0,20,1,0,17
test,0.0,0.0,0.0,0.0,20,1,10,17
train,1.0,1.0,1.0,100.0,20,1,0,18
test,0.0,0.0,0.0,0.0,20,1,10,18
train,1.0,1.0,1.0,100.0,20,1,0,19
test,0.0,0.0,0.0,0.0,20,1,10,19
train,1.0,1.0,1.0,100.0,20,1,0,20
test,0.0,0.0,0.0,0.0,20,1,10,20
0.0119860172272

Pegasos

type,Precision,Recall,F1,Accuracy,T,K,Lamda,Mistakes,Iteration
train,0.0,0.0,0.0,0.0,100,1000,0.001,1000,1
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,50.0,100,1000,0.001,1000,2
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,66.6666666667,100,1000,0.001,1000,3
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,75.0,100,1000,0.001,1000,4
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,80.0,100,1000,0.001,1000,5
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,83.3333333333,100,1000,0.001,1000,6
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,85.7142857143,100,1000,0.001,1000,7
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,87.5,100,1000,0.001,1000,8
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,88.8888888889,100,1000,0.001,1000,9
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,90.0,100,1000,0.001,1000,10
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,90.9090909091,100,1000,0.001,1000,11
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,91.6666666667,100,1000,0.001,1000,12
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,92.3076923077,100,1000,0.001,1000,13
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,92.8571428571,100,1000,0.001,1000,14
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,93.3333333333,100,1000,0.001,1000,15
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,93.75,100,1000,0.001,1000,16
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,94.1176470588,100,1000,0.001,1000,17
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,94.4444444444,100,1000,0.001,1000,18
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,94.7368421053,100,1000,0.001,1000,19
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,95.0,100,1000,0.001,1000,20
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,95.2380952381,100,1000,0.001,1000,21
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,95.4545454545,100,1000,0.001,1000,22
