Pairwise

Gene left out: 0157
type,Precision,Recall,F1,Accuracy,T,K,Bias,Mistakes,Iteration
train,0.0,0.0,0.0,10.0,3,10,0.0,9,1
train,0.0,82.0,0.0,15.0,3,10,0.0,17,1
train,0.0,127.0,0.0,13.3333333333,3,10,0.0,26,1
test,0.0,0.0,0.0,78.98,1,1,0,2102,1
train,0.0,52.6666666667,0.0,17.5,3,10,0.0,33,2
train,0.0,48.75,0.0,18.0,3,10,0.0,41,2
train,0.0,46.4,0.0,18.3333333333,3,10,0.0,49,2
test,0.0,0.0,0.0,78.98,1,1,0,4204,2
train,0.0,44.8333333333,0.0,18.5714285714,3,10,0.0,57,3
train,0.0,50.8333333333,0.0,17.5,3,10,0.0,66,3
train,0.0,48.8571428571,0.0,17.7777777778,3,10,0.0,74,3
test,0.0,0.0,0.0,78.98,1,1,0,6306,3
2.20674395561
